date,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,temperature_mean,temperature_max,temperature_min,humidity_mean,precipitation_sum,pressure_mean,wind_speed_mean,wind_speed_max,AQI
2022-10-12,36.57083333333333,60.7125,895.0833333333334,40.31666666666667,38.141666666666666,102.29166666666667,26.2,31.4,21.7,80,0.0,1009.8,10.9,17.3,199.0
2022-10-13,24.229166666666668,41.854166666666664,674.9166666666666,32.475,27.97083333333333,85.58333333333333,26.1,31.1,22.0,80,0.0,1011.6,10.4,17.9,116.0
2022-10-14,30.833333333333332,50.94166666666666,760.8333333333334,37.275,36.270833333333336,91.04166666666667,26.8,33.8,22.0,71,0.0,1011.9,12.2,18.4,158.0
2022-10-15,34.05416666666667,54.71666666666667,767.5416666666666,36.56666666666667,36.46666666666667,106.33333333333333,27.0,34.2,22.1,77,0.0,1011.3,13.1,20.9,202.0
2022-10-16,49.00833333333333,76.37083333333334,893.0416666666666,37.324999999999996,37.170833333333334,136.75,27.9,34.1,23.0,67,0.0,1012.1,13.7,19.9,241.0
2022-10-17,44.604166666666664,69.47916666666667,761.3333333333334,35.583333333333336,33.237500000000004,120.33333333333333,27.9,34.9,21.9,58,0.0,1012.9,14.3,22.0,217.0
2022-10-18,25.545833333333334,45.88333333333333,556.0833333333334,27.0125,26.09583333333333,84.0,27.2,30.8,24.3,79,0.0,1011.3,14.7,20.8,123.0
2022-10-19,22.004166666666666,42.7875,434.625,22.979166666666668,20.241666666666667,82.45833333333333,26.6,29.9,23.9,83,0.0,1010.7,11.7,17.8,82.0
2022-10-20,19.883333333333333,40.104166666666664,393.3333333333333,19.695833333333333,18.608333333333334,92.33333333333333,26.5,29.9,23.2,83,0.0,1011.2,11.6,18.1,98.0
2022-10-21,71.88333333333334,111.64166666666667,854.7083333333334,35.175000000000004,44.7125,134.58333333333334,27.1,31.8,23.2,73,0.0,1014.5,9.8,17.6,234.0
2022-10-22,80.125,121.5125,837.5833333333334,36.21666666666667,32.90416666666667,126.54166666666667,28.8,34.8,23.5,45,0.0,1016.1,13.5,24.7,202.0
2022-10-23,106.10833333333333,157.08333333333334,1616.6666666666667,70.92916666666666,57.104166666666664,173.54166666666666,27.9,33.2,22.3,53,0.0,1015.1,11.1,19.6,296.0
2022-10-24,27.445833333333336,45.875,540.0,23.929166666666664,23.520833333333332,97.33333333333333,27.5,32.1,23.5,71,0.0,1012.2,14.8,21.8,224.0
2022-10-25,22.866666666666664,43.958333333333336,294.5,12.700000000000001,10.845833333333333,98.5,27.6,30.7,25.6,77,0.0,1010.6,22.3,31.4,85.0
2022-10-26,28.729166666666668,53.11666666666667,395.6666666666667,18.254166666666666,15.729166666666666,100.29166666666667,27.8,30.6,25.7,82,0.0,1011.9,17.0,21.4,94.0
2022-10-27,28.5625,52.57083333333333,472.4583333333333,23.358333333333334,20.679166666666667,92.375,26.4,29.0,23.6,85,0.0,1012.9,10.1,18.6,94.0
2022-10-28,30.645833333333332,55.612500000000004,523.7083333333334,27.02916666666667,23.770833333333332,84.08333333333333,26.1,29.6,23.4,80,0.0,1013.6,8.5,15.1,92.0
2022-10-29,32.766666666666666,56.4,772.0416666666666,38.858333333333334,31.09166666666667,83.58333333333333,26.8,32.6,22.6,70,0.0,1013.9,12.0,16.2,126.0
2022-10-30,33.2125,58.30833333333334,814.5,42.0375,31.370833333333334,80.95833333333333,27.2,33.0,23.0,69,0.0,1014.4,13.0,17.9,124.0
2022-10-31,27.504166666666666,52.92916666666667,593.0,30.3125,22.945833333333336,71.58333333333333,26.7,31.5,22.3,80,0.0,1013.8,13.3,20.7,98.0
2022-11-01,23.5125,45.2125,386.6666666666667,18.6375,13.741666666666667,86.625,26.8,30.4,23.5,85,0.0,1014.1,13.2,20.3,85.0
2022-11-02,28.108333333333334,48.262499999999996,496.625,22.9875,18.4875,97.58333333333333,26.6,30.4,23.4,85,0.0,1013.9,12.4,18.7,111.0
2022-11-03,29.1375,47.39166666666667,573.1666666666666,27.133333333333336,20.983333333333334,96.54166666666667,26.6,30.6,23.3,83,0.0,1012.8,15.2,21.4,121.0
2022-11-04,26.03333333333333,42.67916666666667,559.1666666666666,27.25,21.65833333333333,88.70833333333333,26.8,30.9,23.6,78,0.0,1013.2,15.1,22.7,88.0
2022-11-05,35.020833333333336,56.27916666666667,576.7083333333334,27.191666666666666,22.212500000000002,101.04166666666667,27.6,33.4,23.1,67,0.0,1014.2,14.8,21.3,114.0
2022-11-06,39.454166666666666,61.708333333333336,528.625,26.55,21.083333333333332,96.625,26.5,31.3,22.9,76,0.0,1014.6,13.6,21.4,110.0
2022-11-07,33.458333333333336,54.0625,532.5,26.270833333333332,23.3,96.0,25.4,29.1,23.1,79,0.7,1014.6,11.8,21.0,110.0
2022-11-08,57.24583333333334,90.39583333333333,630.7916666666666,22.208333333333332,32.175000000000004,117.33333333333333,24.8,28.0,21.6,74,0.0,1014.9,10.3,15.1,156.0
2022-11-09,61.25,96.56666666666666,815.7083333333334,28.191666666666666,41.262499999999996,126.625,25.3,29.6,21.2,70,0.0,1015.3,11.0,17.9,191.0
