date,actual_AQI,predicted_AQI,error,absolute_error,squared_error,actual_category,predicted_category,category_correct,horizon,model
2025-08-29,110.0,90.53876555737949,-19.46123444262051,19.46123444262051,378.73964603063877,Unhealthy for Sensitive Groups,Moderate,False,AQI_t+2,SVR + RobustScaler
2025-08-30,87.0,94.45129629765361,7.451296297653613,7.451296297653613,55.521816515426444,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-08-31,81.0,85.91945148717923,4.919451487179231,4.919451487179231,24.201002934709944,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-09-01,92.0,78.26310889840141,-13.736891101598587,13.736891101598587,188.70217713717844,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-09-02,92.0,82.09319619077876,-9.906803809221245,9.906803809221245,98.14476171440056,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-09-03,84.0,85.25793518624675,1.2579351862467547,1.2579351862467547,1.5824009327976574,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-09-04,85.0,83.85353876090436,-1.1464612390956432,1.1464612390956432,1.3143733727487177,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-09-05,84.0,82.89019638611586,-1.1098036138841394,1.1098036138841394,1.231664061390296,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-09-06,82.0,84.1410960369848,2.1410960369848056,2.1410960369848056,4.58429223959204,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-09-07,83.0,79.87619007530552,-3.123809924694484,3.123809924694484,9.758188445619759,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-09-08,73.0,78.22522085775591,5.2252208577559145,5.2252208577559145,27.302933012327454,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-09-09,73.0,73.6591501343132,0.6591501343131938,0.6591501343131938,0.43447889956510144,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-09-10,65.0,73.6246149480669,8.624614948066906,8.624614948066906,74.38398300241911,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-09-11,61.0,77.46883021698459,16.468830216984585,16.468830216984585,271.22236871586455,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-09-12,59.0,77.8200156406545,18.820015640654503,18.820015640654503,354.1929887144801,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-09-13,59.0,78.35978543875818,19.35978543875818,19.35978543875818,374.80129223475325,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-09-14,64.0,76.07576998535139,12.075769985351386,12.075769985351386,145.8242207391134,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-09-15,76.0,73.68187350470598,-2.318126495294024,2.318126495294024,5.373710448184155,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-09-16,84.0,73.62203751053161,-10.377962489468388,10.377962489468388,107.7021054328129,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-09-17,88.0,79.46882300773245,-8.531176992267547,8.531176992267547,72.78098087339514,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-09-18,87.0,83.77095439592044,-3.229045604079559,3.229045604079559,10.426735513225523,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-09-19,83.0,86.17922490935753,3.1792249093575293,3.1792249093575293,10.107471024279391,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-09-20,79.0,83.39083720372201,4.390837203722015,4.390837203722015,19.279451349589362,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-09-21,71.0,82.13934325698199,11.139343256981988,11.139343256981988,124.08496819687008,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-09-22,74.0,77.08059715998809,3.0805971599880877,3.0805971599880877,9.490078862126671,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-09-23,80.0,74.30383165979777,-5.6961683402022345,5.6961683402022345,32.44633375992228,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-09-24,91.0,76.1197948546646,-14.880205145335395,14.880205145335395,221.420505167266,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-09-25,89.0,79.88596357409338,-9.114036425906619,9.114036425906619,83.0656599727527,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-09-26,79.0,84.24219859185662,5.242198591856621,5.242198591856621,27.480646076463536,Moderate,Moderate,True,AQI_t+2,SVR + RobustScaler
2025-09-27,122.0,81.14352935149526,-40.85647064850474,40.85647064850474,1669.2511938521293,Unhealthy for Sensitive Groups,Moderate,False,AQI_t+2,SVR + RobustScaler
2025-09-28,101.0,85.38509519647847,-15.614904803521526,15.614904803521526,243.8252520230396,Unhealthy for Sensitive Groups,Moderate,False,AQI_t+2,SVR + RobustScaler
